IDgroup,GroupMembers,Name_Last,Ocurrence_LastName,HomePlanet,CryoSleep,Destination,Age,VIP,ExpRS,ExpFC,ExpSM,ExpSpa,ExpVR,Cabin_Deck,Cabin_num,Cabin_isPort,ExpTotal,Exp_zero,Transported
1,1,Ofracculy,3.0,Europa,0.0,Trappist,39,0.0,0,0,0,0,0,B,0,1.0,0,True,False
2,1,Vines,4.0,Earth,0.0,Trappist,24,0.0,109,9,25,549,44,F,0,0.0,736,False,True
3,2,Susent,7.0,Europa,0.0,Trappist,58,1.0,43,3576,0,6715,49,A,0,0.0,10383,False,False
3,2,Susent,7.0,Europa,0.0,Trappist,33,0.0,0,1283,371,3329,193,A,0,0.0,5176,False,False
4,1,Santantines,9.0,Earth,0.0,Trappist,16,0.0,303,70,151,565,2,F,1,0.0,1091,False,True
5,1,Hinetthews,10.0,Earth,0.0,PSO,44,0.0,0,483,0,291,0,F,0,1.0,774,False,True
6,2,Jacostaffey,9.0,Earth,0.0,Trappist,26,0.0,42,1539,3,0,0,F,2,0.0,1584,False,True
6,2,Jacostaffey,9.0,Earth,1.0,Trappist,28,0.0,0,0,0,0,0,G,0,0.0,0,True,True
7,1,Beston,5.0,Earth,0.0,Trappist,35,0.0,0,785,17,216,0,F,3,0.0,1018,False,True
8,3,Flatic,3.0,Europa,1.0,Cancri,14,0.0,0,0,0,0,0,B,1,1.0,0,True,True
8,3,Flatic,3.0,Europa,1.0,Trappist,34,0.0,0,0,0,0,0,B,1,1.0,0,True,True
8,3,Flatic,3.0,Europa,0.0,Cancri,45,0.0,39,7295,589,110,124,B,1,1.0,8157,False,True
9,1,Barne,4.0,Mars,0.0,Trappist,32,0.0,73,0,1123,0,113,F,1,1.0,1309,False,True
10,1,Baketton,6.0,Earth,0.0,Trappist,48,0.0,719,1,65,0,24,G,1,0.0,809,False,False
11,1,Bertsontry,9.0,Earth,0.0,Trappist,28,0.0,8,974,12,2,7,F,2,1.0,1003,False,True
12,1,Pooles,12.0,Earth,0.0,Trappist,31,0.0,32,0,876,0,0,G,696,0.0,908,False,False
14,1,Eccle,2.0,Mars,0.0,Cancri,27,0.0,1286,122,656,0,0,F,3,1.0,2064,False,False
15,1,Hughriend,9.0,Earth,0.0,Cancri,24,0.0,0,1,0,0,637,F,4,1.0,638,False,False
16,1,Upead,7.0,Mars,1.0,Trappist,45,0.0,0,0,0,0,0,F,5,1.0,0,True,True
17,2,Brighttt,8.0,Earth,0.0,Trappist,0,0.0,0,0,0,0,0,G,0,1.0,0,True,True
17,2,Brighttt,8.0,Earth,0.0,Cancri,14,0.0,412,0,1,0,679,F,6,1.0,1092,False,False
20,6,Brantuarez,8.0,Earth,1.0,Trappist,1,0.0,0,0,0,0,0,E,0,0.0,0,True,False
20,6,Brantuarez,8.0,Earth,1.0,Cancri,49,0.0,0,0,0,0,0,E,0,0.0,0,True,False
20,6,Mcfaddennon,7.0,Earth,1.0,Cancri,29,0.0,0,0,0,0,0,E,0,0.0,0,True,False
20,6,Jacostanley,6.0,Earth,0.0,Trappist,10,0.0,0,0,0,0,0,E,0,0.0,0,True,True
20,6,Brantuarez,8.0,Earth,1.0,PSO,1,0.0,0,0,0,0,0,E,0,0.0,0,True,False
20,6,Mcfaddennon,7.0,Earth,0.0,Trappist,7,0.0,0,0,0,0,0,E,0,0.0,0,True,False
22,1,,,Mars,0.0,Trappist,21,0.0,980,2,69,0,0,D,0,1.0,1051,False,False
24,1,Fullided,1.0,Europa,1.0,Trappist,62,0.0,0,0,0,0,0,C,2,0.0,0,True,True
25,1,Brookenson,6.0,Earth,0.0,Trappist,15,0.0,0,225,0,998,0,F,6,0.0,1223,False,False
26,1,Unconary,2.0,Europa,0.0,Cancri,34,0.0,22,6073,0,1438,328,C,0,1.0,7861,False,False
28,1,Mare,5.0,Mars,0.0,Trappist,43,0.0,1125,0,136,48,0,F,8,1.0,1309,False,False
30,1,Morsentley,4.0,Earth,0.0,Trappist,32,0.0,0,850,81,437,453,G,4,0.0,1821,False,False
31,3,Datie,5.0,Mars,0.0,Trappist,47,0.0,214,0,1411,0,1229,F,9,1.0,2854,False,True
31,3,Datie,5.0,Mars,0.0,Trappist,2,0.0,0,0,0,0,0,F,9,1.0,0,True,True
31,3,Datie,5.0,Mars,0.0,Trappist,20,0.0,400,0,1750,990,0,F,9,1.0,3140,False,True
34,1,Oingwhedly,1.0,Europa,1.0,Cancri,28,0.0,0,0,0,0,0,D,1,0.0,0,True,True
35,1,Butte,6.0,Mars,0.0,Cancri,23,0.0,784,964,0,951,0,D,1,1.0,2699,False,False
36,1,Leodger,6.0,Earth,0.0,Cancri,15,0.0,0,492,48,20,401,F,8,0.0,961,False,False
38,1,Wheelez,7.0,Earth,0.0,Cancri,20,0.0,554,195,0,2606,0,F,10,0.0,3355,False,False
39,1,Batthewitt,2.0,Earth,1.0,Cancri,30,0.0,0,0,0,0,0,G,1,1.0,0,True,False
41,1,Moodsey,11.0,Earth,1.0,Trappist,17,0.0,0,0,0,0,0,G,2,1.0,0,True,True
43,1,Cylistrand,3.0,Europa,0.0,Trappist,45,0.0,0,164,45,2511,855,B,3,1.0,3575,False,False
44,3,Coopelandez,9.0,Earth,1.0,Trappist,55,0.0,0,0,0,0,0,G,3,1.0,0,True,False
44,3,Coopelandez,9.0,Earth,1.0,Cancri,4,0.0,0,0,0,0,0,G,3,1.0,0,True,True
